,index,days_cancel,insult,group
424,424,-96.0,0.17163689831884202,male
425,425,-95.0,0.1709596390502123,male
426,426,-94.0,0.1709596390502123,male
427,427,-93.0,0.17075985621460318,male
428,428,-92.0,0.17057073661677102,male
429,429,-91.0,0.17040355043776131,male
430,430,-90.0,0.17040355043776131,male
431,431,-89.0,0.16838906915025628,male
432,432,-88.0,0.16838906915025628,male
433,433,-87.0,0.16800874607555555,male
434,434,-86.0,0.16253220103608584,male
435,435,-85.0,0.160014965270679,male
436,436,-84.0,0.160014965270679,male
437,437,-83.0,0.160014965270679,male
438,438,-82.0,0.1607177088099283,male
439,439,-81.0,0.1633930596484102,male
440,440,-80.0,0.1633930596484102,male
441,441,-79.0,0.1670077957869414,male
442,442,-78.0,0.16891830284312045,male
443,443,-77.0,0.16891830284312045,male
444,444,-76.0,0.17570764343641304,male
445,445,-75.0,0.17570764343641304,male
446,446,-74.0,0.17570764343641304,male
447,447,-73.0,0.16963455965431976,male
448,448,-72.0,0.15648609182955184,male
449,449,-71.0,0.1538465361196919,male
450,450,-70.0,0.1488732130991371,male
451,451,-69.0,0.1375665000260183,male
452,452,-68.0,0.1375665000260183,male
453,453,-67.0,0.1375665000260183,male
454,454,-66.0,0.14530948239443045,male
455,455,-65.0,0.1702244474931853,male
456,456,-64.0,0.17361123582604243,male
